Date,SPY,IWM,EFA,EEM,TLT,LQD,HYG,EMB,TIP,GLD,GSG,IYR
2007-12-19,145.88,75.63,78.57,49.47,93.23,105.28,102.1,101.22,105.86,79.24,50.88,66.5
2007-12-20,146.8,76.84,79.13,49.74,93.03,104.77,101.88,101.26,105.74,78.67,51.13,66.75
2007-12-21,148.13,78.6,80.26,51.24,91.67,104.66,102.2,101.15,105.1,80.1,51.75,67.89
2007-12-24,149.23,79.17,78.58,51.447,91.24,104.13,101.8399,101.33,104.78,80.14,52.2,69.74
2007-12-25,149.23,79.17,78.58,51.447,91.24,104.13,101.8399,101.33,104.78,80.14,52.2,69.74
2007-12-26,149.55,79.54,78.8,51.713,90.44,104.16,101.39,101.41,104.32,81.52,53.27,68.58
2007-12-27,147.67,77.39,78.32,50.52,91.06,104.312,101.49,101.17,104.48,81.56,53.13,66.48
2007-12-28,147.3,76.56,78.99,50.71,92.48,104.64,100.5,101.21,105.11,83,52.81,65.5
2007-12-31,146.21,75.92,78.5,50.1,93.045,104.84,100.72,101.35,105.8,82.46,52.74,65.7
2008-01-01,146.21,75.92,78.5,50.1,93.045,104.84,100.72,101.35,105.8,82.46,52.74,65.7
2008-01-02,144.93,75.16,78.22,49.273,94.38,106.08,99.5,101.49,106.64,84.86,54.66,65.15
2008-01-03,144.86,74.33,78.35,49.717,94.25,105.73,99.31,101.67,107,85.57,54.66,63.04
2008-01-04,141.31,72.09,76.57,48.223,94.27,106.6,99.2,101.72,106.97,85.13,54.3,61.04
2008-01-07,141.19,72.25,76.65,48.577,94.68,106.47,98.61,101.95,106.95,84.77,52.68,61.61
2008-01-08,138.91,70.02,76.22,48.2,94.57,106.27,98.04,102.1968,107.03,86.78,53.7,59.37
2008-01-09,140.37,70.73,76.77,49.78,94.75,106.05,96.97,102.12,106.95,86.5499,53.5,60.54
2008-01-10,141.29,71.67,76.69,50.367,93.47,105.7379,97.69,102.21,106.47,88.25,52.76,61.34
2008-01-11,140.15,70.22,75.16,48.95,94.2,106.51,97.9,101.838,107.26,88.58,52.65,61.24
2008-01-14,141.28,70.8,76.36,49.67,94.55,106.07,97.5552,102.19,107.71,89.5399,53.36,61.07
2008-01-15,138.17,69.54,73.8801,47.423,95.61,106.64,97.81,102.36,108.26,87.99,52.39,59.48
2008-01-16,136.98,69.57,72.39,45.45,94.92,106.48,97.7,102.5,107.62,86.7,51.35,60.25
2008-01-17,133.43,67.88,71.3,44.127,96.15,106.98,97.01,102.41,108.4,86.5001,51.1,59.52
2008-01-18,132.06,67.22,71.71,45.133,95.49,106.8,97.77,102.47,108.5,87.42,51.4501,59.02
2008-01-21,132.06,67.22,71.71,45.133,95.49,106.8,97.77,102.47,108.5,87.42,51.4501,59.02
2008-01-22,130.72,66.74,69.7101,44,96.5099,107.03,97.09,101.98,109.32,88.1699,50.47,61.01
2008-01-23,133.86,69.02,69.3,44.28,96.29,107.17,97.28,102,109.06,87.89,49.86,66
2008-01-24,134.99,68.97,71.73,45.14,94.36,106.26,98.5,102.02,108.32,90.08,50.73,64.71
2008-01-25,133.04,68.47,70.69,44.453,95.95,107.41,98.65,102.178,109.2,90.3,51.792,63.81
2008-01-28,135.24,69.92,71.48,45.553,95.59,107.38,98.2,102.1399,109.07,91.75,52.26,66.18
2008-01-29,135.91,70.1,71.91,45.33,94.94,107.2,98.3,101.97,109.03,91.15,52.51,65.78
2008-01-30,134.91,69.22,71.5801,44.733,94.32,107.18,98.68,102.28,109.0501,92.0601,52.51,64.24
2008-01-31,137.37,70.94,72.34,45.63,94.99,107.53,98.88,102.31,109.58,91.4,52.5,65.77
2008-02-01,139.58,72.63,73.55,46.54,95.23,107.49,98.27,101.84,109.08,89.3499,51.52,68.33
2008-02-04,137.82,71.79,72.8,46.683,94.25,107.2,98.295,101.88,108.45,89.1,52,67.27
2008-02-05,134.13,69.95,69.4599,44.17,94.97,107.57,97.5,101.65,108.97,87.68,51.43,65.14
2008-02-06,133.05,68.96,69.4,43.447,94.68,106.99,97.3,101.69,108.8399,88.9499,51.24,63.89
2008-02-07,133.93,70.11,69.0499,44.183,92.64,105.76,96.89,101.33,107.5396,89.85,51.64,65.43
2008-02-08,133.07,69.67,68.34,44.1,93.7,106.16,96.16,100.94,108.62,91,53.62,63.4
2008-02-11,133.75,69.58,68.7,44.647,94.09,106.48,95.4,100.89,108.9,91.33,54.13,62.13
2008-02-12,134.99,70.41,70.18,45.367,93.53,106.33,95.76,100.92,108.7,89.33,53.5,64.09
2008-02-13,136.37,71.85,70.66,46.387,92.5399,105.26,95.51,101.11,107.71,89.44,53.78,64.39
