Date,S&P 500 Index,MSCI EAFE,MSCI ACWI ex US,Barclays Global Aggregate Bond Index,Barclays US Corporate High Yield Index,FTSE NAREIT Index,S&P GSCI Index,Gold
1990-01-31,329.08,1007.8,133.47,98.6557,194.21,950.14,1883.36,417.8
1990-02-28,331.89,936.39,124.43,98.1434,190.2,943.47,1877.21,408.9
1990-03-30,339.94,837.74,111.63,97.6235,195.19,952.88,1890.95,375
1990-04-30,330.8,830,110.48,97.1139,194.86,936.32,1871.12,371.4
1990-05-31,361.23,923.6,122.53,100.1953,198.62,935.6,1857.3,368.6
1990-06-29,358.02,914.3,121.32,102.0496,203.42,951.76,1828.55,359.9
1990-07-31,356.15,925.96,123.07,104.7318,208.9,943.09,1979.47,370
1990-08-31,322.56,834.82,111.14,103.6773,197.01,875.17,2307.85,384.6
1990-09-28,306.05,717.24,96.12,104.6409,182.63,813.28,2837.27,402.5
1990-10-31,304,827.71,109.71,107.9561,173.04,785.86,2665.57,381.3
1990-11-30,322.22,777.6,103.41,109.9325,178.44,841.63,2490.6,385.7
1990-12-31,330.22,788.98,105.07,111.2186,179.44,839.09,2441.68,396.2
1991-01-31,343.93,813.17,108.15,113.6177,184.37,930.88,2212.463,368.5
1991-02-28,367.07,899.06,119.56,114.1656,204.54,947.73,2243.227,369
1991-03-29,375.22,843.88,112.78,111.7002,216.59,1029.89,2327.666,357.1
1991-04-30,375.35,851.01,113.79,112.9759,225.47,1055.97,2380.389,357.7
1991-05-31,389.83,858.71,115.2,113.3341,225.88,1067.71,2379.17,364.8
1991-06-28,371.16,794.46,106.99,112.3961,232.56,1037.91,2322.833,370
1991-07-31,387.81,832.3,111.94,114.5245,240,1058.85,2441.432,363.6
1991-08-30,395.43,814.18,109.82,116.8673,245.52,1054.57,2479.072,349.6
1991-09-30,387.86,858.85,115.21,120.7083,248.94,1080.39,2498.638,357.3
1991-10-31,392.46,869.77,117.03,122.1464,257.25,1068.52,2570.307,359.5
1991-11-29,375.22,827.91,111.61,123.6464,258.59,1062.58,2466.493,367.9
1991-12-31,417.09,869.35,117.2,129.0565,262.31,1138.61,2291.899,355.2
1992-01-31,408.79,849.52,115.37,127.0646,271.55,1194.06,2354.905,357
1992-02-28,412.7,817.86,111.62,127.0592,278.25,1165.5,2329.082,354.1
1992-03-31,403.69,762.62,104.66,125.9713,281.7,1146.15,2355.111,343.7
1992-04-30,414.95,764.95,104.79,126.7909,282.77,1142.08,2425.68,337.9
1992-05-29,415.35,814.85,110.93,130.3797,286.76,1191.99,2490.852,338.4
1992-06-30,408.14,774.89,105.35,133.3482,289.46,1176.38,2477.121,344.4
1992-07-31,424.21,753.7,102.89,136.0934,293.83,1227.49,2442.603,357.4
1992-08-31,414.03,799.58,108.15,138.9829,297.68,1231.27,2445.156,343.6
1992-09-30,417.8,782.45,105.72,139.4692,300.71,1256.65,2473.193,347.8
1992-10-30,418.68,740.17,100.89,136.3422,296.47,1255.04,2418.814,340.1
1992-11-30,431.35,745.94,101.26,135.0507,300.2,1281.61,2387.884,335.5
1992-12-31,435.71,748.62,101.92,136.5434,303.63,1304.73,2393.26,333.1
1993-01-29,438.78,747.35,101.72,138.8869,312.46,1388.46,2422.278,330.7
1993-02-26,443.38,768.77,104.65,141.0801,317.97,1463.11,2450.42,329
1993-03-31,451.67,834.6,113.07,142.6107,322.06,1587.08,2501.49,339.3
1993-04-30,440.19,912.59,122.84,144.6552,324.87,1517.18,2474.612,357.2
1993-05-31,450.19,930.65,125.36,145.6397,328.73,1493.13,2405.752,380.3
1993-06-30,450.53,914.94,123.66,146.3914,335.63,1541.53,2330.462,379.2
1993-07-30,448.13,945.8,127.57,146.4398,338.87,1568.45,2310.312,411.3
1993-08-31,463.56,995.68,134.23,150.1748,341.73,1607.18,2329.331,375.7
1993-09-30,458.93,972.07,131.28,151.4741,342.61,1685.64,2335.264,357.1
1993-10-29,467.83,1000.85,135.84,151.6172,349.55,1653.5,2251.358,369.6
1993-11-30,461.79,912.19,125.31,150.27,351.23,1563.83,2138.442,371.9
1993-12-31,466.45,976.9,134.89,151.6699,355.6,1561.17,2098.214,391.9
1994-01-31,481.61,1058.31,145.81,153.4668,363.32,1606.61,2269.053,383.6
1994-02-28,467.14,1054.18,144.51,151.5381,362.37,1676.38,2219.718,382.5
1994-03-31,445.77,1007.54,137.69,149.6986,348.68,1614.31,2193.292,394.3
1994-04-29,450.91,1049.07,142.15,149.3371,346.29,1641.72,2250.734,377.8
1994-05-31,456.5,1041.82,141.98,148.5034,346.47,1678.26,2284.222,390
1994-06-30,444.27,1055.28,142.78,149.5007,347.54,1644.03,2340.412,387.3
1994-07-29,458.26,1064.17,144.91,151.6737,350.49,1635.99,2380.704,389.2
1994-08-31,475.49,1088.09,149.57,151.492,352.97,1640.88,2220.247,390.8
1994-09-30,462.69,1052.51,145.66,151.2453,352.99,1610.41,2199.354,397.6
1994-10-31,472.35,1086.22,149.36,152.838,353.83,1554.55,2209.264,384.9
1994-11-30,453.69,1032.7,141.94,151.3144,349.37,1501.09,2136.922,384.5
1994-12-30,459.27,1037.86,141.4,152.0204,351.94,1610.67,2209.268,384.4
1995-01-31,470.42,996.67,134.79,155.2006,356.71,1575.5,2154.369,377.7
